State/Territory,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Totals
Iowa,2012,"13,663","16,076","14,773","11,101","9,505","7,505","8,596","9,917","8,990","12,012","16,155","19,407","147,700"
Kansas,2012,"15,972","19,272","18,716","12,984","12,295","12,147","13,225","15,708","13,809","16,551","24,748","35,545","210,972"
Kentucky,2012,"199,339","215,496","211,057","204,963","204,954","209,443","209,830","216,276","216,886","220,986","219,921","260,207","2,589,358"
Louisiana,2012,"20,314","26,139","23,196","17,563","17,048","18,895","19,708","25,320","30,724","29,102","38,584","59,697","326,290"
Maine,2012,"5,625","7,547","8,348","6,736","5,802","5,581","5,344","7,054","8,539","9,748","9,094","12,416","91,834"
Mariana Islands,2012,0,0,0,2,1,1,0,0,0,1,0,0,5
Maryland,2012,"8,893","12,186","11,645","10,204","9,074","8,127","8,478","10,609","9,528","11,640","17,048","19,172","136,604"
Massachusetts,2012,"13,612","15,536","18,697","15,957","15,951","15,165","14,682","17,855","17,519","19,062","21,166","25,251","210,453"
Michigan,2012,"29,519","39,674","40,012","32,598","29,042","26,213","25,821","32,653","32,715","37,464","45,249","59,445","430,405"
Minnesota,2012,"28,780","34,904","43,516","37,216","31,819","27,343","25,668","34,927","37,424","43,310","40,168","55,917","440,992"
Mississippi,2012,"14,352","21,136","15,955","11,424","11,613","11,832","12,428","17,313","14,861","18,935","30,272","42,176","222,297"
Missouri,2012,"35,338","49,037","44,469","34,335","30,808","30,925","30,826","39,336","37,258","44,157","55,571","81,243","513,303"
Montana,2012,"8,531","11,811","11,723","9,869","9,277","9,498","8,537","10,765","11,118","13,036","11,728","18,562","134,455"
Nebraska,2012,"6,811","7,184","7,126","5,476","4,708","4,413","4,557","6,141","5,806","7,814","10,418","15,406","85,860"
Nevada,2012,"9,988","12,627","13,338","11,897","10,415","9,605","9,229","11,228","9,948","11,057","14,611","22,420","146,363"
New Hampshire,2012,"8,336","10,126","10,866","9,937","8,723","9,486","8,297","9,918","10,028","10,591","12,223","19,647","128,178"
New Jersey,2012,"5,312","6,545","7,587","6,904","6,952","6,723","6,430","7,179","6,471","6,791","8,910","10,047","85,851"
New Mexico,2012,"9,317","13,631","13,239","9,845","9,488","9,906","9,051","11,175","10,284","11,675","14,271","21,537","143,419"
New York,2012,"21,957","29,129","29,139","25,906","22,811","20,283","20,284","24,296","28,050","30,294","38,150","48,320","338,619"
North Carolina,2012,"36,985","49,479","41,221","31,334","31,590","29,124","30,022","37,343","33,538","40,956","53,692","74,023","489,307"
North Dakota,2012,"5,492","7,192","8,337","6,652","6,310","5,770","4,936","5,815","6,599","9,138","7,637","10,989","84,867"
Ohio,2012,"39,215","61,246","57,181","44,422","36,717","37,375","37,815","43,974","44,695","49,510","74,534","102,531","629,215"
Oklahoma,2012,"25,498","34,440","30,398","23,286","21,764","22,450","22,596","28,548","25,546","28,960","43,759","60,731","367,976"
Oregon,2012,"17,368","23,339","25,401","20,442","16,915","17,331","16,380","18,294","20,203","19,989","27,133","44,246","267,041"
Pennsylvania,2012,"66,682","89,424","93,005","71,690","62,343","60,533","64,227","75,174","72,565","79,821","99,829","133,241","968,534"
Puerto Rico,2012,936,"1,327","1,467","1,167","1,297","1,255","1,202","1,374","1,149","1,327","1,271","1,773","15,545"
Rhode Island,2012,"1,671","2,064","2,237","1,806","1,655","1,457","1,486","1,658","1,771","1,897","2,478","3,870","24,050"
South Carolina,2012,"21,901","32,897","26,955","20,048","21,046","22,649","21,905","23,329","20,783","23,632","30,131","43,132","308,408"
South Dakota,2012,"5,984","7,261","7,242","5,538","4,777","4,553","4,742","6,525","7,029","9,893","10,114","14,789","88,447"
Tennessee,2012,"35,142","49,025","40,590","33,338","31,263","33,629","35,059","39,107","35,175","40,032","59,840","91,922","524,122"
Texas,2012,"96,394","130,571","122,295","88,867","88,027","89,057","93,179","117,318","108,117","112,530","149,821","239,956","1,436,132"
Utah,2012,"12,187","16,204","20,038","18,140","17,117","17,624","16,303","19,635","16,936","20,048","23,859","32,908","230,999"
Vermont,2012,"2,051","3,182","3,565","2,862","2,176","2,036","2,067","2,397","2,983","3,152","3,191","4,845","34,507"
Virgin Islands,2012,30,38,17,27,45,38,34,38,41,37,25,29,399
Virginia,2012,"28,119","40,976","36,602","30,439","25,559","25,962","30,064","32,039","33,749","35,342","52,416","77,487","448,754"
Washington,2012,"33,742","44,047","46,610","41,366","37,315","37,742","34,518","39,036","36,883","43,051","50,452","74,447","519,209"
West Virginia,2012,"14,865","23,043","19,085","14,643","13,060","12,880","12,858","17,075","17,549","19,662","26,830","34,030","225,580"
Wisconsin,2012,"43,852","47,912","47,104","39,410","30,059","24,986","25,991","34,499","34,070","41,069","44,890","55,533","469,375"
Wyoming,2012,"3,892","5,325","5,822","4,579","4,476","4,149","3,901","4,969","4,874","5,011","6,482","9,876","63,356"
Alabama,2011,"24,683","31,759","27,452","21,718","20,125","21,639","21,394","25,075","25,550","27,096","37,559","52,052","336,102"
Alaska,2011,"4,193","5,016","6,324","7,213","5,481","5,011","5,228","6,191","5,603","7,586","5,264","7,088","70,198"
Arizona,2011,"19,927","24,293","24,362","20,312","17,228","16,921","17,393","19,178","19,614","20,660","21,962","29,627","251,477"
Arkansas,2011,"14,629","20,726","19,153","14,440","12,861","12,967","12,443","15,574","17,056","17,704","21,952","26,723","206,228"
California,2011,"68,984","67,480","84,183","87,052","66,457","75,317","62,387","76,162","70,043","83,926","74,118","89,592","905,701"
Colorado,2011,"26,423","28,056","32,233","28,366","24,526","22,374","22,111","25,611","27,601","27,895","31,566","39,534","336,296"
Connecticut,2011,"13,324","15,154","19,479","17,025","15,458","15,027","13,519","13,583","14,477","14,842","15,588","18,592","186,068"
Delaware,2011,"1,543","1,878","2,121","1,682","1,412","1,381","1,348","1,544","1,751","2,141","2,422","3,267","22,490"
District of Columbia,2011,18,35,40,40,15,6,4,12,39,35,33,23,300
Florida,2011,"53,396","60,661","57,319","49,574","44,317","45,007","44,259","49,864","49,825","52,459","58,793","77,755","643,229"
Georgia,2011,"27,893","40,229","34,903","25,173","23,106","23,612","23,438","27,571","28,549","30,008","33,484","49,928","367,894"
Guam,2011,44,41,30,43,35,40,38,35,37,52,37,79,511
Hawaii,2011,870,889,"1,226","1,025","1,046","1,024","1,001","1,186",991,"1,080","1,110","1,187","12,635"
Idaho,2011,"6,990","8,804","9,694","8,688","7,507","7,309","7,019","8,600","9,756","9,704","9,207","13,338","106,616"
Illinois,2011,"64,814","59,431","81,115","68,667","55,615","56,547","58,099","66,058","66,147","69,530","85,419","97,520","828,962"
Indiana,2011,"30,541","32,083","38,315","29,792","24,145","23,206","18,687","28,228","27,494","28,973","35,122","43,254","359,840"
Iowa,2011,"28,239","21,226","24,621","15,666","11,264","9,134","7,925","10,193","10,514","11,784","14,326","15,052","179,944"
Kansas,2011,"13,993","15,363","17,046","12,000","9,818","9,557","9,855","12,273","11,634","13,909","17,794","21,656","164,898"
Kentucky,2011,"177,464","188,375","184,546","184,195","180,713","183,978","184,356","189,671","194,180","196,026","203,683","213,645","2,280,832"
Louisiana,2011,"19,895","21,596","19,561","15,795","14,440","15,573","16,513","20,405","27,344","24,489","28,512","40,429","264,552"
Maine,2011,"4,669","5,003","6,751","5,735","4,680","4,489","4,989","5,647","6,967","8,725","6,775","8,697","73,127"
Mariana Islands,2011,1,0,0,0,0,0,0,0,0,0,0,0,1
Maryland,2011,"7,521","8,759","9,754","8,500","6,920","6,397","6,505","7,885","7,465","9,038","11,678","12,598","103,020"
Massachusetts,2011,"12,065","11,390","15,402","13,456","12,030","11,643","11,285","12,992","12,509","13,199","12,944","14,572","153,487"
Michigan,2011,"26,610","29,976","40,176","33,074","26,415","23,436","20,783","26,445","29,598","29,448","34,261","36,413","356,635"
Minnesota,2011,"23,965","25,707","35,730","32,612","25,879","21,508","18,160","26,543","30,635","33,383","29,226","34,186","337,534"
Mississippi,2011,"12,934","17,673","13,865","10,880","9,594","9,714","10,757","13,706","14,705","16,435","23,983","30,813","185,059"
Missouri,2011,"30,010","35,225","39,100","31,760","25,846","24,461","24,059","30,121","31,041","34,786","39,621","48,893","394,923"
Montana,2011,"6,843","8,786","9,800","9,246","8,102","7,534","7,591","8,782","10,256","11,459","8,837","11,738","108,974"
Nebraska,2011,"5,577","5,627","6,471","4,888","3,768","3,407","3,262","4,713","4,939","5,918","7,645","9,645","65,860"
Nevada,2011,"9,020","10,209","11,807","9,911","9,903","8,731","8,504","9,274","8,986","8,750","10,148","13,497","118,740"
New Hampshire,2011,"6,602","6,939","8,374","7,879","6,348","6,730","6,643","7,031","8,018","8,228","8,464","9,728","90,984"
New Jersey,2011,"4,094","4,498","5,686","5,327","4,744","4,471","4,283","4,554","4,691","5,071","5,896","6,941","60,256"
New Mexico,2011,"8,568","11,305","10,732","9,344","8,107","8,248","8,027","9,187","9,001","9,724","10,111","13,266","115,620"
New York,2011,"18,184","20,575","25,590","23,702","19,043","17,222","15,609","20,848","24,847","26,213","28,792","31,212","271,837"
North Carolina,2011,"28,745","38,046","34,691","26,486","23,166","23,829","22,879","28,308","29,321","31,770","38,647","49,323","375,211"
North Dakota,2011,"3,509","4,196","5,026","5,014","4,020","3,453","3,594","4,793","5,779","7,713","6,415","7,520","61,032"
Ohio,2011,"32,445","43,281","45,933","39,009","30,264","27,715","29,200","33,656","35,819","39,276","49,995","62,381","468,974"
Oklahoma,2011,"21,901","24,262","22,825","20,910","16,468","16,926","17,504","20,606","21,437","21,830","29,611","37,536","271,816"
Oregon,2011,"15,053","19,107","21,396","18,924","16,844","15,010","13,172","14,272","16,606","16,276","18,197","24,924","209,781"
Pennsylvania,2011,"49,123","60,141","72,258","62,023","48,401","46,403","45,686","54,953","58,671","63,135","73,684","84,456","718,934"
Puerto Rico,2011,765,724,928,819,974,968,816,991,"1,084","1,137","1,100","1,219","11,525"
Rhode Island,2011,"1,259","1,529","1,756","1,560","1,191","1,195","1,105","1,367","1,350","1,464","1,534","1,961","17,271"
South Carolina,2011,"15,559","23,822","21,669","16,096","14,728","14,435","14,201","18,589","17,958","18,470","23,354","30,538","229,419"
South Dakota,2011,"5,062","5,636","6,115","5,359","4,300","3,871","3,759","5,338","6,092","8,405","7,157","8,560","69,654"
Tennessee,2011,"37,303","41,709","49,190","34,499","33,407","26,388","29,884","31,215","29,468","39,802","41,364","56,878","451,107"
Texas,2011,"85,642","98,234","97,274","87,448","81,733","79,768","77,160","88,889","95,830","96,869","112,058","154,482","1,155,387"
Utah,2011,"156,273","148,222","19,213","106,858","156,415","116,927","129,912","120,911","12,668","13,611","17,367","22,412","1,020,789"
Vermont,2011,"1,668","2,326","2,835","2,611","1,833","1,711","1,551","1,973","2,415","2,669","2,616","3,084","27,292"
Virgin Islands,2011,114,138,179,90,112,178,102,89,66,85,92,111,"1,356"
Virginia,2011,"24,482","31,915","30,593","25,922","20,659","19,279","23,271","23,087","25,348","29,209","34,504","43,199","331,468"
Washington,2011,"30,026","35,059","38,679","33,741","29,384","28,038","27,113","30,258","30,810","33,594","33,662","44,046","394,410"
West Virginia,2011,"12,306","18,145","15,674","13,548","10,691","10,610","11,387","13,269","15,704","17,195","21,995","24,967","185,491"
Wisconsin,2011,"13,328","17,288","23,330","19,630","14,313","13,675","14,162","19,017","21,701","24,984","73,346","67,987","322,761"
Wyoming,2011,"3,455","4,591","5,184","4,346","4,021","3,714","3,423","4,110","4,614","4,066","4,424","6,276","52,224"
Alabama,2010,"24,397","30,456","26,403","20,791","18,752","18,801","20,513","23,813","23,344","25,403","32,668","43,266","308,607"
Alaska,2010,"3,821","4,649","5,577","6,411","5,385","5,126","5,129","5,735","5,188","6,817","5,035","7,036","65,909"
Arizona,2010,"15,687","19,737","18,142","16,578","15,048","13,846","14,910","16,826","17,027","16,732","17,575","23,942","206,050"
Arkansas,2010,"13,506","18,988","16,781","14,563","11,251","12,677","12,316","13,877","15,907","16,979","20,782","23,821","191,448"
California,2010,"63,048","64,271","74,011","80,750","69,344","61,889","62,682","65,506","60,530","68,851","63,995","81,522","816,399"
Colorado,2010,"24,265","25,008","26,781","23,609","21,575","21,273","21,849","25,298","23,433","25,402","27,634","34,693","300,820"
Connecticut,2010,"15,346","14,929","19,380","15,922","13,890","14,432","12,848","14,183","13,743","14,371","15,005","15,546","179,595"
Delaware,2010,"1,638","1,387","1,878","1,439","1,227","1,222","1,272","1,418","1,571","1,720","2,058","2,410","19,240"
District of Columbia,2010,21,29,52,35,26,21,37,23,29,26,23,27,349
Florida,2010,"46,404","50,797","51,836","42,794","39,988","39,190","40,949","42,301","42,666","46,464","50,550","65,408","559,347"
Georgia,2010,"29,217","35,867","32,199","24,065","21,440","21,083","21,897","23,723","24,281","28,899","29,045","41,531","333,247"
Guam,2010,53,52,60,35,46,29,43,50,41,43,42,48,542
Hawaii,2010,826,829,"1,055",963,787,895,783,874,874,913,800,934,"10,533"
Idaho,2010,"7,252","8,724","9,051","7,814","7,017","6,472","5,973","6,798","8,017","8,121","6,874","9,918","92,031"
Illinois,2010,"58,343","55,994","65,629","53,929","45,009","52,369","50,122","59,738","58,617","62,384","63,906","69,260","695,300"
Indiana,2010,"27,193","30,162","32,174","25,232","24,879","25,869","24,070","29,281","27,346","30,124","32,292","37,028","345,650"
Iowa,2010,"10,429","10,673","13,878","9,720","7,568","7,847","6,921","7,723","9,588","11,029","13,273","16,089","124,738"
Kansas,2010,"11,571","13,308","12,889","9,529","8,360","8,099","8,428","10,317","11,262","14,359","16,070","19,964","144,156"
Kentucky,2010,"201,899","211,077","211,068","211,261","213,810","216,147","219,640","181,135","172,165","177,281","181,908","188,188","2,385,579"
Louisiana,2010,"16,562","19,631","18,069","13,373","12,402","13,340","15,351","19,062","24,914","24,310","26,317","35,873","239,204"
Maine,2010,"3,949","4,916","5,941","5,073","4,219","4,308","4,143","5,119","6,817","8,605","6,065","6,833","65,988"
Mariana Islands,2010,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryland,2010,"7,055","6,974","8,437","6,992","6,097","5,753","6,047","6,823","6,809","7,702","9,827","9,646","88,162"
Massachusetts,2010,"8,882","8,302","10,018","8,748","7,926","7,959","7,845","9,673","10,818","12,237","11,609","11,887","115,904"
Michigan,2010,"26,082","31,742","37,529","29,383","25,102","22,964","21,625","26,506","30,062","30,825","33,796","32,584","348,200"
Minnesota,2010,"20,181","21,210","29,495","26,351","20,172","21,173","19,268","24,702","31,519","33,303","23,577","26,439","297,390"
Mississippi,2010,"12,266","16,277","13,284","9,702","9,100","9,040","10,321","12,666","13,250","15,634","21,845","26,488","169,873"
Missouri,2010,"26,169","34,082","33,666","26,289","23,067","23,624","22,889","26,607","27,317","32,211","34,075","39,676","349,672"
Montana,2010,"6,771","8,525","9,108","8,367","7,361","7,421","7,058","8,707","9,441","10,789","7,676","9,871","101,095"
Nebraska,2010,"4,060","4,620","5,480","4,141","3,567","3,627","3,252","4,228","4,768","6,038","6,709","7,793","58,283"
Nevada,2010,"7,705","8,959","10,375","9,294","8,692","7,610","7,500","8,228","7,908","7,817","9,052","11,649","104,789"
New Hampshire,2010,"6,253","6,377","7,705","6,911","5,694","5,666","5,711","6,093","6,987","7,579","6,942","8,022","79,940"
New Jersey,2010,"4,038","3,655","4,949","4,215","3,913","3,787","3,728","3,801","4,078","4,423","5,087","4,848","50,522"
New Mexico,2010,"7,971","10,513","10,359","8,599","7,727","7,867","8,829","8,914","8,743","8,830","8,812","11,905","109,069"
New York,2010,"17,411","18,302","22,365","19,906","16,001","16,345","15,277","18,015","22,021","25,138","25,758","24,956","241,495"
North Carolina,2010,"27,260","32,128","30,488","23,378","20,806","21,312","22,358","26,494","26,711","28,544","32,825","39,333","331,637"
North Dakota,2010,"3,064","3,253","4,035","3,726","3,279","3,154","2,818","3,629","4,733","6,477","4,490","4,425","47,083"
Ohio,2010,"30,348","34,190","38,472","31,312","25,857","23,934","26,464","28,258","30,234","35,171","42,549","46,461","393,250"
Oklahoma,2010,"17,538","24,308","19,616","17,750","15,202","14,331","15,970","17,819","17,862","19,605","24,250","29,658","233,909"
Oregon,2010,"13,157","16,920","18,422","16,031","14,063","13,236","12,364","13,652","16,035","15,007","15,153","20,795","184,835"
Pennsylvania,2010,"47,456","47,352","65,871","50,249","41,779","43,153","43,054","47,362","52,002","57,446","67,443","63,510","626,677"
Puerto Rico,2010,597,635,691,642,613,650,735,742,706,597,663,807,"8,078"
Rhode Island,2010,"1,270","1,316","1,542","1,199","1,052","1,044",990,"1,151","1,178","1,306","1,331","1,456","14,835"
South Carolina,2010,"16,697","20,358","18,306","14,441","13,570","14,532","13,501","15,262","15,413","14,800","21,016","23,732","201,628"
South Dakota,2010,"4,009","5,010","5,388","4,561","3,889","3,696","3,810","4,761","6,051","8,232","6,566","7,178","63,151"
Tennessee,2010,"26,056","47,562","43,340","30,453","23,904","26,099","27,459","30,419","31,436","34,894","38,300","51,102","411,024"
Texas,2010,"73,787","87,849","77,795","65,012","61,789","60,337","67,262","81,327","78,300","91,997","95,755","126,861","968,071"
Utah,2010,"42,200","22,622","17,173","109,391","18,308","17,437","65,785","13,179","38,412","154,655","17,282","36,690","553,134"
Vermont,2010,"1,495","2,234","2,630","2,053","1,638","1,433","1,523","1,698","2,344","2,592","2,292","2,344","24,276"
Virgin Islands,2010,85,113,130,161,87,156,190,151,158,111,120,132,"1,594"
Virginia,2010,"22,145","25,620","30,216","44,137","27,723","16,652","21,272","22,580","22,314","25,771","29,492","32,861","320,783"
Washington,2010,"27,184","30,358","32,149","27,816","24,989","24,456","23,826","26,001","28,670","29,320","26,375","34,198","335,342"
West Virginia,2010,"11,693","14,737","13,794","11,180","9,350","9,774","10,050","11,116","13,298","16,499","19,482","18,577","159,550"
Wisconsin,2010,"12,734","16,017","21,554","16,471","11,567","11,437","10,964","15,192","18,610","21,543","21,043","17,665","194,797"
Wyoming,2010,"3,266","4,013","4,382","4,013","3,911","3,668","3,265","3,804","4,332","3,968","3,708","5,379","47,709"
Alabama,2009,"29,770","30,391","27,949","21,322","20,277","18,538","21,001","24,123","24,221","27,346","30,734","42,196","317,868"
Alaska,2009,"4,227","4,652","5,140","5,775","4,878","4,419","4,263","5,076","4,885","6,724","4,726","6,015","60,780"
Arizona,2009,"20,293","21,423","21,766","20,896","17,837","18,953","16,099","14,956","14,619","14,831","14,003","19,703","215,379"
Arkansas,2009,"17,819","21,434","19,172","19,326","13,435","14,489","14,074","14,319","15,465","18,480","18,795","23,034","209,842"
California,2009,"72,039","62,736","72,248","73,315","64,304","63,190","61,389","65,927","62,920","64,468","56,392","69,236","788,164"
Colorado,2009,"28,193","29,189","32,067","30,277","27,595","24,127","20,949","22,782","21,855","22,940","24,466","29,201","313,641"
Connecticut,2009,"18,593","19,264","21,879","19,564","16,972","16,887","15,338","15,081","15,448","14,754","13,520","15,154","202,454"
Delaware,2009,"1,860","1,886","2,031","1,736","1,439","1,318","1,245","1,545","1,520","1,763","1,926","2,261","20,530"
District of Columbia,2009,34,40,40,34,29,28,25,31,28,28,33,19,369
Florida,2009,"51,169","53,862","55,646","48,761","40,976","38,505","38,918","40,232","39,874","44,824","46,324","57,449","556,540"
Georgia,2009,"39,703","44,226","40,635","30,714","24,765","24,872","23,360","25,045","24,701","28,353","27,511","39,352","373,237"
Guam,2009,54,34,27,40,38,45,34,42,41,50,43,62,510
Hawaii,2009,894,792,"1,086","1,013",897,758,813,687,867,853,859,992,"10,511"
Idaho,2009,"8,903","9,851","11,281","9,396","6,886","6,798","6,207","6,930","7,615","8,237","7,406","9,733","99,243"
Illinois,2009,"62,068","58,938","72,066","82,671","64,049","52,126","47,204","54,912","60,010","65,610","64,018","68,399","752,071"
Indiana,2009,"23,196","24,131","25,741","20,245","16,093","14,038","14,138","19,136","25,710","29,405","29,522","32,448","273,803"
Iowa,2009,"11,987","11,199","13,542","10,764","7,354","6,646","6,309","7,213","8,711","11,607","11,146","13,755","120,233"
Kansas,2009,"14,131","13,268","14,201","11,607","9,031","7,979","8,181","10,762","10,137","13,343","14,017","16,327","142,984"
Kentucky,2009,"167,035","173,104","175,314","174,987","174,703","175,957","179,312","182,433","187,031","194,580","195,656","209,466","2,189,578"
Louisiana,2009,"22,219","21,639","21,067","17,171","14,561","13,579","15,059","18,088","25,613","22,882","22,565","32,641","247,084"
Maine,2009,"4,200","4,676","5,782","5,148","3,948","3,763","3,847","4,406","5,887","7,967","5,444","5,887","60,955"
Mariana Islands,2009,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryland,2009,"8,734","9,271","9,733","8,445","6,328","6,453","6,344","6,379","7,152","8,169","9,498","8,685","95,191"
Massachusetts,2009,"8,960","8,230","10,135","9,236","7,827","7,487","6,730","6,682","7,681","8,887","8,631","8,378","98,864"
Michigan,2009,"30,182","32,473","38,803","34,713","25,954","24,233","23,268","26,423","28,759","31,974","32,954","32,436","362,172"
Minnesota,2009,"22,768","23,895","32,695","31,130","19,636","18,162","17,426","21,487","25,748","29,398","20,902","21,883","285,130"
Mississippi,2009,"16,201","16,599","13,189","11,131","9,488","8,359","9,717","11,702","12,488","14,967","18,202","25,014","167,057"
Missouri,2009,"32,110","35,664","36,214","30,743","23,401","21,868","21,998","26,207","26,143","33,121","30,743","37,466","355,678"
Montana,2009,"7,519","8,799","9,600","9,076","8,190","7,541","7,082","8,311","8,753","10,521","7,326","9,258","101,976"
Nebraska,2009,"5,702","5,475","6,092","5,495","3,211","3,379","3,103","4,108","4,638","6,017","5,792","6,316","59,328"
Nevada,2009,"10,224","10,154","11,536","10,912","8,004","7,695","6,908","7,597","6,985","8,224","8,367","10,737","107,343"
New Hampshire,2009,"6,165","5,910","7,376","6,975","5,463","4,896","5,239","6,019","6,327","8,681","6,536","6,515","76,102"
New Jersey,2009,"4,216","4,343","5,266","5,060","4,567","4,739","4,428","4,172","4,083","4,953","4,713","4,993","55,533"
New Mexico,2009,"9,635","10,875","10,757","8,676","7,901","7,762","7,168","8,333","8,047","8,776","7,963","10,961","106,854"
New York,2009,"18,383","18,910","22,794","21,727","16,415","16,193","15,824","17,289","21,159","25,423","23,176","23,872","241,165"
North Carolina,2009,"38,538","39,872","37,632","31,413","25,730","23,591","22,884","24,625","25,737","29,399","30,279","38,760","368,460"
North Dakota,2009,"3,523","3,682","3,846","4,714","4,078","3,289","2,933","3,439","4,419","5,749","4,107","4,183","47,962"
Ohio,2009,"33,593","38,939","41,762","35,416","27,137","24,817","25,287","26,574","27,796","33,727","39,266","41,266","395,580"
Oklahoma,2009,"22,098","24,547","21,680","21,163","16,353","13,868","14,752","17,083","16,049","18,934","21,832","26,203","234,562"
Oregon,2009,"16,799","18,063","20,906","16,980","14,086","12,127","11,007","12,204","14,503","14,610","14,938","18,820","185,043"
Pennsylvania,2009,"54,695","57,544","69,675","59,806","45,804","43,428","42,862","44,917","50,424","56,079","60,101","56,361","641,696"
Puerto Rico,2009,625,609,727,653,637,663,658,689,715,705,585,726,"7,992"
Rhode Island,2009,"1,287","1,355","1,557","1,469","1,158","1,072",922,968,"1,098","1,355","1,186","1,372","14,799"
South Carolina,2009,"17,818","20,958","19,681","18,209","15,961","13,977","14,914","15,567","16,028","16,984","21,990","22,497","214,584"
South Dakota,2009,"5,447","5,614","5,776","5,533","3,769","3,786","3,652","4,757","5,738","7,578","5,742","6,356","63,748"
Tennessee,2009,"31,505","33,801","34,899","26,003","25,506","23,435","26,032","55,766","27,528","35,780","40,591","48,145","408,991"
Texas,2009,"86,835","96,192","102,372","76,844","71,891","69,421","66,285","80,589","74,929","78,429","95,339","114,889","1,014,015"
Utah,2009,"28,809","16,137","18,402","28,052","16,119","19,092","31,518","20,191","15,749","30,908","12,993","18,166","256,136"
Vermont,2009,"1,619","2,314","2,456","2,129","1,564","1,349","1,437","1,644","2,028","2,421","2,068","2,056","23,085"
Virgin Islands,2009,183,126,179,213,162,169,120,136,147,113,117,94,"1,759"
Virginia,2009,"27,133","29,763","28,923","26,103","19,811","17,106","20,436","20,882","21,425","27,563","27,434","29,884","296,463"
Washington,2009,"31,526","33,303","35,861","32,498","27,031","23,229","21,284","23,384","24,405","27,301","24,453","32,457","336,732"
West Virginia,2009,"13,020","15,097","13,698","12,237","10,016","9,232","9,628","10,435","12,343","15,987","17,419","17,719","156,831"
Wisconsin,2009,"14,071","17,025","23,863","19,575","11,864","10,519","10,489","14,794","17,700","21,119","19,327","16,605","196,951"
Wyoming,2009,"4,553","5,050","5,594","4,931","4,202","4,118","3,421","3,800","3,804","3,663","3,553","4,706","51,395"
Alabama,2008,"22,516","26,565","23,827","18,165","19,228","17,454","18,312","21,264","21,365","24,898","39,594","46,244","299,432"
Alaska,2008,"3,266","3,844","4,404","4,745","4,409","3,804","4,102","5,201","7,083","5,926","7,945","7,000","61,729"
Arizona,2008,"17,302","19,279","17,466","16,321","16,274","13,644","14,129","15,201","14,404","16,206","22,813","25,682","208,721"
Arkansas,2008,"13,794","17,726","15,717","12,214","12,463","11,306","11,428","12,925","14,715","18,762","24,251","26,498","191,799"
California,2008,"58,872","59,380","74,599","66,612","64,811","57,322","62,382","63,942","56,404","65,372","73,190","77,512","780,398"
Colorado,2008,"18,057","20,877","22,401","20,016","19,921","18,991","19,673","22,460","21,596","26,115","39,798","35,616","285,521"
Connecticut,2008,"12,621","11,681","12,978","12,549","11,869","10,658","11,352","11,373","12,304","14,573","16,586","17,341","155,885"
Delaware,2008,"1,242","1,380","1,339","1,350","1,162","1,013","1,103","1,296","1,349","1,716","2,512","2,640","18,102"
District of Columbia,2008,1,53,0,0,0,16,1,1,39,49,55,44,259
Florida,2008,"38,219","40,476","39,246","36,385","35,887","34,145","34,809","34,316","34,029","44,475","65,859","65,826","503,672"
Georgia,2008,"27,410","32,150","27,880","24,172","23,424","22,513","25,433","25,427","25,289","35,246","46,108","52,322","367,374"
Guam,2008,27,36,27,37,36,36,28,33,42,55,34,56,447
Hawaii,2008,642,563,689,746,565,608,612,615,655,835,989,"1,050","8,569"
Idaho,2008,"6,590","8,715","9,166","7,964","7,518","6,778","6,088","7,234","8,095","8,979","11,539","11,791","100,457"
Illinois,2008,"50,878","47,375","55,221","50,664","41,563","36,378","41,247","47,407","54,261","56,784","64,537","69,626","615,941"
Indiana,2008,"17,255","18,649","20,196","14,582","14,259","11,982","12,694","15,500","15,155","20,735","30,367","28,526","219,900"
Iowa,2008,"10,386","8,850","10,569","8,333","6,253","5,103","5,437","6,282","8,426","11,047","13,188","14,456","108,330"
Kansas,2008,"9,405","10,169","10,182","8,680","7,618","6,879","7,070","9,408","8,543","12,231","18,157","17,742","126,084"
Kentucky,2008,"143,573","148,628","146,516","148,367","150,272","146,583","184,555","154,192","155,795","162,086","170,669","169,865","1,881,101"
Louisiana,2008,"17,416","18,034","15,706","13,222","13,171","13,502","14,449","19,179","17,044","27,703","37,761","41,168","248,355"
Maine,2008,"3,363","3,658","4,474","3,955","3,889","3,540","3,550","4,742","5,600","7,802","6,367","5,621","56,561"
Mariana Islands,2008,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryland,2008,"6,307","7,693","6,895","6,318","5,664","5,283","5,646","5,970","6,437","8,493","13,581","11,296","89,583"
Massachusetts,2008,"11,466","11,024","13,113","11,676","10,247","9,128","9,068","8,676","7,857","8,631","9,777","9,196","119,859"
Michigan,2008,"26,327","27,806","31,514","28,416","24,411","22,283","22,649","26,564","31,250","36,342","41,369","38,404","357,335"
Minnesota,2008,"18,727","20,738","26,018","25,126","18,927","17,390","17,164","21,906","27,447","30,503","28,567","24,662","277,175"
Mississippi,2008,"16,039","15,654","12,065","9,652","10,147","9,602","10,071","13,259","11,328","16,495","27,364","29,392","181,068"
Missouri,2008,"24,210","28,424","28,049","23,721","20,818","18,806","19,159","23,671","21,687","31,440","40,379","41,123","321,487"
